jsonstat,.,|
label,"Population by province of residence, place of birth, age, gender and year in Galicia"
source,INE and IGE
updated,2012-12-27T12:25:09Z
href,https://json-stat.org/samples/galicia.json
dimension,birth,place of birth,6,T,total,C,county of residence,P,another county in the same province,G,another province of Galicia,A,in another autonomous community,F,abroad,geo
dimension,age,age group,22,T,total,0,0-4,5,5-9,10,10-14,15,15-19,20,20-24,25,25-29,30,30-34,35,35-39,40,40-44,45,45-49,50,50-54,55,55-59,60,60-64,65,65-69,70,70-74,75,75-79,80,80-84,85,85-89,90,90-94,95,95-99,100,100+
dimension,gender,gender,3,T,total,M,male,F,female
dimension,time,year,2,2001,2001,2011,2011,time
dimension,residence,province of residence,5,T,total,15,A Coruña,27,Lugo,32,Ourense,36,Pontevedra,geo
dimension,concept,concept,1,pop,population,metric,0|persons
data
birth,age,gender,time,residence,concept,value
T,95,M,2001,27,pop,227
T,95,M,2001,32,pop,183
T,95,M,2001,36,pop,187
T,95,M,2011,T,pop,1603
T,95,M,2011,15,pop,560
T,95,M,2011,27,pop,372
T,95,M,2011,32,pop,291
T,95,M,2011,36,pop,380
T,95,F,2001,T,pop,2831
T,95,F,2001,15,pop,1106
T,95,F,2001,27,pop,466
T,95,F,2001,32,pop,522
T,95,F,2001,36,pop,737
T,95,F,2011,T,pop,5111
T,95,F,2011,15,pop,1768
T,95,F,2011,27,pop,905
T,95,F,2011,32,pop,986
T,95,F,2011,36,pop,1453
T,100,T,2001,T,pop,391
T,100,T,2001,15,pop,118
T,100,T,2001,27,pop,82
T,100,T,2001,32,pop,75
T,100,T,2001,36,pop,116
T,100,T,2011,T,pop,1025
T,100,T,2011,15,pop,322
T,100,T,2011,27,pop,211
T,100,T,2011,32,pop,199
T,100,T,2011,36,pop,293
T,100,M,2001,T,pop,93
T,100,M,2001,15,pop,20
T,100,M,2001,27,pop,28
T,100,M,2001,32,pop,16
T,100,M,2001,36,pop,29
T,100,M,2011,T,pop,213
T,100,M,2011,15,pop,60
T,100,M,2011,27,pop,64
T,100,M,2011,32,pop,34
T,100,M,2011,36,pop,55
T,100,F,2001,T,pop,298
T,100,F,2001,15,pop,98
T,100,F,2001,27,pop,54
T,100,F,2001,32,pop,59
T,100,F,2001,36,pop,87
T,100,F,2011,T,pop,812
T,100,F,2011,15,pop,262
T,100,F,2011,27,pop,147
T,100,F,2011,32,pop,164
T,100,F,2011,36,pop,238
C,T,T,2001,T,pop,1695355
C,T,T,2001,15,pop,642736
C,T,T,2001,27,pop,239519
C,T,T,2001,32,pop,202971
C,T,T,2001,36,pop,610129
C,T,T,2011,T,pop,1579732
C,T,T,2011,15,pop,600831
C,T,T,2011,27,pop,212365
C,T,T,2011,32,pop,176156
C,T,T,2011,36,pop,590381
C,T,M,2001,T,pop,822813
C,T,M,2001,15,pop,312530
C,T,M,2001,27,pop,120034
C,T,M,2001,32,pop,98290
C,T,M,2001,36,pop,291959
C,T,M,2011,T,pop,770929
C,T,M,2011,15,pop,292759
C,T,M,2011,27,pop,106782
C,T,M,2011,32,pop,86316
C,T,M,2011,36,pop,285072
C,T,F,2001,T,pop,872542
C,T,F,2001,15,pop,330206
C,T,F,2001,27,pop,119485
C,T,F,2001,32,pop,104681
C,T,F,2001,36,pop,318170
C,T,F,2011,T,pop,808803
C,T,F,2011,15,pop,308072
C,T,F,2011,27,pop,105583
C,T,F,2011,32,pop,89840
C,T,F,2011,36,pop,305308
C,0,T,2001,T,pop,76971
C,0,T,2001,15,pop,29388
C,0,T,2001,27,pop,8643
C,0,T,2001,32,pop,7339
C,0,T,2001,36,pop,31601
C,0,T,2011,T,pop,92261
C,0,T,2011,15,pop,37386
C,0,T,2011,27,pop,9709
